,post_id,text,post_text,shared_text,time,image,likes,comments,shares,post_url,link
51,158211309055160,"https://m.facebook.com/story.php?story_fbid=1086524178371496&id=100010417721480
CNBC.COM
WHO considers 'airborne precautions' for medical staff after study shows coronavirus can survive in air",https://m.facebook.com/story.php?story_fbid=1086524178371496&id=100010417721480,"CNBC.COM
WHO considers 'airborne precautions' for medical staff after study shows coronavirus can survive in air",2020-04-01 02:33:54,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQBcaWxPZB_UUBJJ&w=476&h=249&url=https%3A%2F%2Fimage.cnbcfm.com%2Fapi%2Fv1%2Fimage%2F106456848-1584977916032gettyimages-1208026833.jpeg%3Fv%3D1584977964&cfs=1&jq=75&ext=jpg&_nc_hash=AQCoW_bUzyedX1_G,0,0,0,https://m.facebook.com/story.php?story_fbid=158211309055160&id=103661247843500,https://www.cnbc.com/2020/03/16/who-considers-airborne-precautions-for-medical-staff-after-study-shows-coronavirus-can-survive-in-air.html
52,158178469058444,"South China Morning Post was live.
April 1 at 1:01 PM ·
Live figures showing the latest numbers of confirmed cases and deaths in the rapidly spreading coronavirus outbreak that has killed at least 41,000 worldwide.",,"South China Morning Post was live.
April 1 at 1:01 PM ·
Live figures showing the latest numbers of confirmed cases and deaths in the rapidly spreading coronavirus outbreak that has killed at least 41,000 worldwide.",2020-04-01 01:27:27,,0,0,0,https://m.facebook.com/story.php?story_fbid=158178469058444&id=103661247843500,
53,158151595727798,"DAILYMAIL.CO.UK
California scientist believes he has found a 'cure' for coronavirus",,"DAILYMAIL.CO.UK
California scientist believes he has found a 'cure' for coronavirus",2020-04-01 00:33:34,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQBba7Pf6JPG4iup&w=476&h=249&url=https%3A%2F%2Fs3.amazonaws.com%2Fprod-cust-photo-posts-jfaikqealaka%2Fcc3ec0b4-e9ec-b851-1618-53c47ccacbfc.gif&cfs=1&jq=75&ext=jpg&_nc_hash=AQCe2XhnzCtAsmdM,0,0,0,https://m.facebook.com/story.php?story_fbid=158151595727798&id=103661247843500,https://trib.al/92sxqW1
54,158089922400632,"CNN Replay
March 31 at 8:48 AM ·
New York City is now the epicenter of America’s largest coronavirus outbreak. We spent one week following the journey of emergency room physician Dr. Calvin Sun, who explains how dire the situation has become on the front lines of this crisis. In hospitals across New York City, there is a severe shortage of personal protective equipment (PPE), which is essential to keeping hospital workers like himself safe. With the number of cases continuing to rise across the city, he explains what is needed now in order to bring some relief.",,"CNN Replay
March 31 at 8:48 AM ·
New York City is now the epicenter of America’s largest coronavirus outbreak. We spent one week following the journey of emergency room physician Dr. Calvin Sun, who explains how dire the situation has become on the front lines of this crisis. In hospitals across New York City, there is a severe shortage of personal protective equipment (PPE), which is essential to keeping hospital workers like himself safe. With the number of cases continuing to rise across the city, he explains what is needed now in order to bring some relief.",2020-03-31 22:32:37,,0,0,0,https://m.facebook.com/story.php?story_fbid=158089922400632&id=103661247843500,
55,157849942424630,"ALJAZEERA.COM
New York governor begs for help as coronavirus death toll climbs",,"ALJAZEERA.COM
New York governor begs for help as coronavirus death toll climbs",2020-03-31 10:33:05,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQAeShutSOCWm9Nm&w=476&h=249&url=https%3A%2F%2Fwww.aljazeera.com%2Fmritems%2FImages%2F2020%2F3%2F30%2F685a16069a72483a8efaded00db13021_18.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQD3JAZMFFYkiAYE,0,0,0,https://m.facebook.com/story.php?story_fbid=157849942424630&id=103661247843500,https://www.aljazeera.com/news/2020/03/york-governor-begs-coronavirus-death-toll-climbs-200330193503824.html?utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=facebook
56,157849715757986,"NEWSWEEK.COM
One New York City resident died every 12 minutes from coronavirus over the weekend",,"NEWSWEEK.COM
One New York City resident died every 12 minutes from coronavirus over the weekend",2020-03-31 10:32:51,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQB7GiZOydf1L3xk&w=476&h=249&url=https%3A%2F%2Fd.newsweek.com%2Fen%2Ffull%2F1577665%2Fnyc-open-streets.jpg&cfs=1&jq=75&sx=0&sy=0&sw=2500&sh=1308&ext=jpg&_nc_hash=AQCioQ8ycB94Ldje,0,0,2,https://m.facebook.com/story.php?story_fbid=157849715757986&id=103661247843500,https://www.newsweek.com/one-new-york-city-resident-died-every-12-minutes-coronavirus-over-weekend-1495097
57,157849492424675,"Hashem Al-Ghaili
March 31 at 4:00 AM ·
Coronavirus Universal Vaccine: How does it work and can it prevent future outbreaks?
#Coronavirus #COVID_19 #CoronavirusUpdates",,"Hashem Al-Ghaili
March 31 at 4:00 AM ·
Coronavirus Universal Vaccine: How does it work and can it prevent future outbreaks?
#Coronavirus #COVID_19 #CoronavirusUpdates",2020-03-31 10:31:36,,0,0,0,https://m.facebook.com/story.php?story_fbid=157849492424675&id=103661247843500,
58,157849109091380,"RT
March 31 at 1:30 AM ·
There’s some good news to cling on to from China’s Hubei Province, where there’s been no new cases of #COVID19 for 6 days and the recovery rate in the country as a whole is now 93% according to the authorities. Last week, the capital Wuhan even opened its subway after a two-month lockdown. So some hope then for the rest of the world, looking on at the former epicenter of the pandemic from their own lockdowns, that things will get better. Tell us, what's happening in your country or city at the moment?
READ MORE: https://on.rt.com/adsy",,"RT
March 31 at 1:30 AM ·
There’s some good news to cling on to from China’s Hubei Province, where there’s been no new cases of #COVID19 for 6 days and the recovery rate in the country as a whole is now 93% according to the authorities. Last week, the capital Wuhan even opened its subway after a two-month lockdown. So some hope then for the rest of the world, looking on at the former epicenter of the pandemic from their own lockdowns, that things will get better. Tell us, what's happening in your country or city at the moment?
READ MORE: https://on.rt.com/adsy",2020-03-31 10:30:18,https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/91422842_10158834157469411_430219018545135616_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_oc=AQllHML9jSU1bWibiXUTlM9olV1n4npfG7qHtS1bjrzj0BAs9zgQ_Yw1XaB7gXsDelYqQbezMN9S1de2Sdy7NcK9&_nc_ht=scontent-iad3-1.xx&_nc_tp=14&oh=c822d216a785590350b40c47abc0a1be&oe=5EB66AEF,0,0,0,https://m.facebook.com/story.php?story_fbid=157849109091380&id=103661247843500,https://on.rt.com/adsy
59,157849035758054,"SCMP.COM
Funeral parlour report fans fears over Wuhan coronavirus death toll",,"SCMP.COM
Funeral parlour report fans fears over Wuhan coronavirus death toll",2020-03-31 10:30:06,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQCqSwpJBLIFdwUr&w=476&h=249&url=https%3A%2F%2Fcdn.i-scmp.com%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Fog_image_scmp_generic%2Fpublic%2Fd8%2Fimages%2Fmethode%2F2020%2F03%2F31%2F26a3fd98-728c-11ea-ab8f-988daf8efd6f_image_hires_000413.JPG%3Fitok%3DCL_8ATWc%26v%3D1585584259&cfs=1&jq=75&ext=jpg&_nc_hash=AQBzCXk6-_xNhzVj,0,0,0,https://m.facebook.com/story.php?story_fbid=157849035758054&id=103661247843500,https://www.scmp.com/news/china/society/article/3077644/funeral-parlour-report-fans-fears-over-wuhan-death-toll?utm_content=article&utm_medium=Social&utm_source=Facebook#Echobox=1585581630
60,157848679091423,"DAILYMAIL.CO.UK
Creep poses as a cop — storms into coronavirus isolation hotel and rapes two women",,"DAILYMAIL.CO.UK
Creep poses as a cop — storms into coronavirus isolation hotel and rapes two women",2020-03-31 10:29:16,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQDrlGYrstSqSlvz&w=476&h=249&url=https%3A%2F%2Fs3.amazonaws.com%2Fprod-cust-photo-posts-jfaikqealaka%2F0b8fd293-ae9e-f39c-2392-9578d6dcd475.jpg&cfs=1&jq=75&sx=0&sy=0&sw=720&sh=377&ext=jpg&_nc_hash=AQAJpniK2Nf9cETE,0,0,0,https://m.facebook.com/story.php?story_fbid=157848679091423&id=103661247843500,https://trib.al/DHI5B5e
